"endTime","msPlayed","trackName","artistName"
"2021-11-28 14:56",230333,"You Over Anyone","Sea Girls"
"2021-11-28 15:01",251320,"Moving On","Sea Girls"
"2021-11-28 15:04",211840,"Transplant","Sea Girls"
"2021-11-28 15:07",188920,"All I Want To Hear You Say - Single Version","Sea Girls"
"2021-11-28 15:10",178600,"Do You Really Wanna Know?","Sea Girls"
"2021-11-28 15:14",199440,"Lie To Me","Sea Girls"
"2021-11-28 15:17",232093,"Call Me Out","Sea Girls"
"2021-11-28 15:21",201226,"Closer","Sea Girls"
"2021-11-28 15:25",240640,"Forever","Sea Girls"
"2021-11-28 15:28",200986,"Weight In Gold","Sea Girls"
"2021-11-28 15:32",207373,"Ready For More","Sea Girls"
"2021-11-28 15:35",63331,"It Won't Always Be Like This","Inhaler"
"2021-11-28 15:35",191681,"Violet","Sea Girls"
"2021-11-28 15:40",297933,"Seventeen Going Under","Sam Fender"
"2021-11-28 15:43",186773,"Aye","Sam Fender"
"2021-11-28 15:46",189360,"Getting Started","Sam Fender"
"2021-11-28 15:47",25234,"Get You Down","Sam Fender"
"2021-11-28 15:51",273026,"Spit Of You","Sam Fender"
"2021-11-28 15:56",263520,"Get You Down","Sam Fender"
"2021-11-28 16:01",297933,"Seventeen Going Under","Sam Fender"
"2021-11-28 16:04",189360,"Getting Started","Sam Fender"
"2021-11-28 16:07",186773,"Aye","Sam Fender"
"2021-11-28 16:11",229693,"Long Way Off","Sam Fender"
"2021-11-28 16:16",321400,"Last To Make It Home","Sam Fender"
"2021-11-28 16:20",225186,"Paradigms","Sam Fender"
"2021-11-28 16:24",238333,"The Dying Light","Sam Fender"
"2021-11-28 16:28",237986,"Hypersonic Missiles","Sam Fender"
"2021-11-28 16:32",256000,"Mantra","Sam Fender"
"2021-11-28 16:35",162600,"Will We Talk?","Sam Fender"
"2021-11-28 21:04",297933,"Seventeen Going Under","Sam Fender"
"2021-11-28 21:07",189360,"Getting Started","Sam Fender"
"2021-11-28 21:10",186773,"Aye","Sam Fender"
"2021-11-28 21:15",263520,"Get You Down","Sam Fender"
"2021-11-28 21:18",229693,"Long Way Off","Sam Fender"
"2021-11-28 21:23",273026,"Spit Of You","Sam Fender"
"2021-11-28 21:29",321400,"Last To Make It Home","Sam Fender"
"2021-11-28 21:59",241373,"The Leveller","Sam Fender"
"2021-11-28 22:03",256000,"Mantra","Sam Fender"
"2021-11-28 22:07",225186,"Paradigms","Sam Fender"
"2021-11-28 22:11",238333,"The Dying Light","Sam Fender"
"2021-11-28 22:15",228840,"Better Of Me","Sam Fender"
"2021-11-28 22:18",178813,"Pretending That You're Dead","Sam Fender"
"2021-11-28 22:22",252000,"Angel In Lothian","Sam Fender"
"2021-11-29 01:40",141630,"Good Company","Sam Fender"
"2021-11-29 01:44",103975,"Pretending That You're Dead","Sam Fender"
"2021-11-29 01:47",195266,"Powder Train","Daisy Brain"
"2021-11-29 01:50",182013,"Pretend","Daisy Brain"
"2021-11-29 01:54",208281,"Boring","Daisy Brain"
"2021-11-29 01:57",195266,"Powder Train","Daisy Brain"
"2021-11-29 02:00",194466,"Lost for Words","Daisy Brain"
"2021-11-29 02:04",218026,"Facemelter","Daisy Brain"
"2021-11-29 02:08",208281,"Boring","Daisy Brain"
"2021-11-29 02:12",252546,"We Have To Move On","Inhaler"
"2021-11-29 02:14",140083,"Wet Dream","Wet Leg"
"2021-11-29 02:17",180196,"Clockwork","Lime Garden"
"2021-11-29 02:20",190357,"UrbanAngel1999","Thomas Headon"
"2021-11-29 02:24",204560,"Hung Up","The Mysterines"
"2021-11-29 02:26",161733,"All My Pride","Black Honey"
"2021-11-29 02:31",265293,"Oklahoma - Late Night Version","Inhaler"
"2021-11-29 02:34",196905,"Chaise Longue","Wet Leg"
"2021-11-29 02:37",170161,"Tune in, Drop Out","Beach Riot"
"2021-11-29 02:39",138756,"Sunshine State","Pixey"
"2021-11-29 02:40",69972,"Billy Big Bollocks","Bilk"
"2021-11-29 02:45",242293,"One Way Trigger","The Strokes"
"2021-11-29 02:48",193373,"Last Nite","The Strokes"
"2021-11-29 02:51",179200,"Gratisfaction","The Strokes"
"2021-11-29 02:55",276506,"On the Other Side","The Strokes"
"2021-11-29 02:59",211360,"New York City Cops","The Strokes"
"2021-11-29 03:03",209626,"Machu Picchu","The Strokes"
"2021-11-29 03:06",207133,"Automatic Stop","The Strokes"
"2021-11-29 03:11",275666,"Why Are Sundays So Depressing","The Strokes"
"2021-11-29 03:13",153133,"12:51","The Strokes"
"2021-11-29 03:18",293360,"Bad Decisions","The Strokes"
"2021-11-29 03:21",187306,"Under Control","The Strokes"
"2021-11-29 03:26",273554,"Drag Queen","The Strokes"
"2021-11-29 03:29",183440,"Someday","The Strokes"
"2021-11-29 03:32",169506,"What Ever Happened?","The Strokes"
"2021-11-29 03:38",375320,"Eternal Summer","The Strokes"
"2021-11-29 03:41",203240,"Taken for a Fool","The Strokes"
"2021-11-29 03:45",206173,"Heart In a Cage","The Strokes"
"2021-11-29 03:48",208133,"Razorblade","The Strokes"
"2021-11-29 03:53",255240,"Life Is Simple in the Moonlight","The Strokes"
"2021-11-29 03:56",182026,"Call Me Back","The Strokes"
"2021-11-29 04:00",265773,"Ize of the World","The Strokes"
"2021-11-29 12:33",19297,"Powder Train","Daisy Brain"
"2021-11-29 12:39",351786,"Ode To The Mets","The Strokes"
"2021-11-29 12:43",221804,"Eugene","Arlo Parks"
"2021-11-29 12:46",181255,"BTEC Lily Allen","Josie Proto"
"2021-11-29 12:48",129893,"John Lennon Is My Jesus Christ","Buzzard Buzzard Buzzard"
"2021-11-29 12:52",226941,"I Think You're Great","Alex the Astronaut"
"2021-11-29 12:55",163627,"Hold Out","Sam Fender"
"2021-11-29 12:58",233695,"Mustang","Bartees Strange"
"2021-11-29 13:01",127600,"What's on the TV?","Blackaby"
"2021-11-29 13:04",218533,"how will i rest in peace if i'm buried by a highway?//","KennyHoopla"
"2021-11-29 13:08",220586,"When It Breaks","Inhaler"
"2021-11-29 13:11",196773,"Beautiful Faces","Declan McKenna"
"2021-11-29 13:15",212824,"Happiness In Liquid Form","Alfie Templeman"
"2021-11-29 13:18",210813,"Oh My God - Single Version","Boniface"
"2021-11-29 13:21",111363,"Is This It","The Strokes"
"2021-11-29 13:21",189737,"If You’re Too Shy (Let Me Know)","The 1975"
"2021-11-29 13:24",130643,"If You’re Too Shy (Let Me Know)","The 1975"
"2021-11-29 13:28",234000,"Icarus","Gengahr"
"2021-11-29 13:30",174062,"Good Love 2.0","Priya Ragu"
"2021-11-29 13:34",193293,"OK","Wallows"
"2021-11-29 13:37",174266,"The Glow","DMA'S"
"2021-11-29 13:41",242800,"Oh No (I Think I’m In Love) - Live From The Plaza Theatre, Stockport","Blossoms"
"2021-11-29 13:44",178333,"Do You Really Wanna Know?","Sea Girls"
"2021-11-29 13:47",217893,"Say Something","Sarpa Salpa"
"2021-11-29 13:51",207464,"Cyanide","Creeper"
"2021-11-29 13:54",181492,"Move to San Francisco","Circa Waves"
"2021-11-29 13:57",216202,"City Is Busy","Fletcher Gull"
"2021-11-29 14:00",176666,"SUNRISE (feat. Arlo Parks)","MICHELLE"
"2021-11-29 14:04",200583,"Tangerine","Glass Animals"
"2021-11-29 14:07",229283,"OMG Plz Don't Come Around","THE DRIVER ERA"
"2021-11-29 14:11",198626,"Vipers","Dylan Fraser"
"2021-11-29 14:13",148476,"Seen It All","Everyone You Know"
"2021-11-29 14:17",195013,"Criminals","DMA'S"
"2021-11-29 14:20",191160,"Learning Alive","DMA'S"
"2021-11-29 14:22",146955,"The Glow","DMA'S"
"2021-11-29 14:51",195013,"Criminals","DMA'S"
"2021-11-29 14:54",191160,"Learning Alive","DMA'S"
"2021-11-29 14:57",174266,"The Glow","DMA'S"
"2021-11-29 15:34",218733,"Strangers","DMA'S"
"2021-11-29 15:39",259858,"Silver","DMA'S"
"2021-11-29 15:46",238080,"Appointment","DMA'S"
"2021-11-29 15:50",256106,"Life Is a Game of Changing","DMA'S"
"2021-11-29 15:54",232666,"Hello Girlfriend","DMA'S"
"2021-11-29 15:57",175214,"Step up the Morphine","DMA'S"
"2021-11-29 16:01",241320,"In the Air","DMA'S"
"2021-11-29 16:05",193591,"Lay Down","DMA'S"
"2021-11-29 16:09",256893,"Never Before","DMA'S"
"2021-11-29 16:13",244390,"Feels Like 37","DMA'S"
"2021-11-29 16:17",252133,"Tape Deck Sick","DMA'S"
"2021-11-29 16:21",203216,"Laced","DMA'S"
"2021-11-29 16:25",271061,"Delete","DMA'S"
"2021-11-29 16:29",237147,"Your Low","DMA'S"
"2021-11-29 16:32",205810,"So We Know","DMA'S"
"2021-11-29 16:37",264586,"The End","DMA'S"
"2021-11-29 16:41",244733,"Cobracaine","DMA'S"
"2021-11-29 16:45",244333,"Beautiful Stranger - MTV Unplugged Live","DMA'S"
"2021-11-29 16:49",233455,"The Plan","DMA'S"
"2021-11-29 16:54",283853,"Do I Need You Now?","DMA'S"
"2021-11-29 16:57",215371,"Melbourne","DMA'S"
"2021-11-29 17:26",138245,"Timeless","DMA'S"
"2021-11-29 17:30",237293,"Time & Money","DMA'S"
"2021-11-29 21:49",17690,"Play It Out","DMA'S"
"2021-11-29 21:51",282070,"Timeless","DMA'S"
"2021-11-29 21:55",237293,"Time & Money","DMA'S"
"2021-11-29 21:58",204919,"Play It Out","DMA'S"
"2021-11-29 22:02",217073,"Dawning - Live / Acoustic","DMA'S"
"2021-11-29 22:06",235506,"Break Me","DMA'S"
"2021-11-29 22:09",203098,"Too Soon","DMA'S"
"2021-11-29 22:13",232015,"In the Moment","DMA'S"
"2021-11-29 22:18",260696,"The Switch","DMA'S"
"2021-11-29 22:22",243093,"For Now","DMA'S"
"2021-11-29 22:26",244949,"Straight Dimensions","DMA'S"
"2021-11-29 22:29",193013,"Warsaw","DMA'S"
"2021-11-29 22:34",283828,"Blown Away","DMA'S"
"2021-11-29 22:37",174929,"Emily Whyte","DMA'S"
"2021-11-29 22:40",195013,"Criminals","DMA'S"
"2021-11-29 22:43",191160,"Learning Alive","DMA'S"
"2021-11-29 22:46",174266,"The Glow","DMA'S"
"2021-11-29 22:50",218733,"Strangers","DMA'S"
"2021-11-29 22:54",259858,"Silver","DMA'S"
"2021-11-29 22:58",238080,"Appointment","DMA'S"
"2021-11-29 23:02",256106,"Life Is a Game of Changing","DMA'S"
"2021-11-29 23:06",232666,"Hello Girlfriend","DMA'S"
"2021-11-29 23:09",175214,"Step up the Morphine","DMA'S"
"2021-11-29 23:13",241320,"In the Air","DMA'S"
"2021-11-29 23:16",193591,"Lay Down","DMA'S"
"2021-11-29 23:21",256893,"Never Before","DMA'S"
"2021-11-29 23:25",244390,"Feels Like 37","DMA'S"
"2021-11-29 23:29",252133,"Tape Deck Sick","DMA'S"
"2021-11-29 23:32",203216,"Laced","DMA'S"
"2021-11-29 23:37",271061,"Delete","DMA'S"
"2021-11-29 23:41",237147,"Your Low","DMA'S"
"2021-11-29 23:44",205810,"So We Know","DMA'S"
"2021-11-29 23:49",264586,"The End","DMA'S"
"2021-11-29 23:53",244733,"Cobracaine","DMA'S"
"2021-11-29 23:57",244333,"Beautiful Stranger - MTV Unplugged Live","DMA'S"
"2021-11-30 06:03",78284,"The Plan","DMA'S"
"2021-11-30 15:43",2159,"The Plan","DMA'S"
"2021-11-30 15:46",195013,"Criminals","DMA'S"
"2021-11-30 15:50",191160,"Learning Alive","DMA'S"
"2021-11-30 15:53",174266,"The Glow","DMA'S"
"2021-11-30 15:57",218733,"Strangers","DMA'S"
"2021-11-30 16:39",259858,"Silver","DMA'S"
"2021-11-30 16:43",238080,"Appointment","DMA'S"
"2021-11-30 16:48",256106,"Life Is a Game of Changing","DMA'S"
"2021-11-30 16:51",232666,"Hello Girlfriend","DMA'S"
"2021-11-30 16:54",175214,"Step up the Morphine","DMA'S"
"2021-11-30 16:58",241320,"In the Air","DMA'S"
"2021-11-30 19:14",86440,"Lay Down","DMA'S"
"2021-12-01 03:37",208281,"Boring","Daisy Brain"
"2021-12-01 03:40",182013,"Pretend","Daisy Brain"
"2021-12-01 03:43",194466,"Lost for Words","Daisy Brain"
"2021-12-01 03:46",195266,"Powder Train","Daisy Brain"
"2021-12-01 03:50",218026,"Facemelter","Daisy Brain"
"2021-12-01 03:53",195266,"Powder Train","Daisy Brain"
"2021-12-01 03:57",208281,"Boring","Daisy Brain"
"2021-12-01 04:00",182013,"Pretend","Daisy Brain"
"2021-12-01 04:03",194466,"Lost for Words","Daisy Brain"
"2021-12-01 04:05",98943,"Powder Train","Daisy Brain"
"2021-12-01 13:20",200656,"Vipers","Dylan Fraser"
"2021-12-01 13:23",210520,"Intentions","Dylan Fraser"
"2021-12-01 13:26",176236,"Face Tattoo","Dylan Fraser"
"2021-12-01 13:29",176543,"I Do These Things For Me","Dylan Fraser"
"2021-12-01 13:32",200656,"Vipers","Dylan Fraser"
"2021-12-01 13:35",183023,"Only A Fool (feat. Samia)","Dylan Fraser"
"2021-12-01 13:38",167281,"Mantelpiece","Dylan Fraser"
"2021-12-01 13:43",271203,"Nightmare","Dylan Fraser"
"2021-12-01 13:47",271203,"Nightmare","Dylan Fraser"
"2021-12-01 13:51",200656,"Vipers","Dylan Fraser"
"2021-12-01 13:53",145941,"The Storm","Dylan Fraser"
"2021-12-01 13:57",212897,"Gucci Sweater","Dylan Fraser"
"2021-12-01 14:00",176543,"I Do These Things For Me","Dylan Fraser"
"2021-12-01 15:29",119,"Gucci Sweater","Dylan Fraser"
"2021-12-01 15:30",2693,"Eugene","Arlo Parks"
"2021-12-01 15:30",2716,"Eugene","Arlo Parks"
"2021-12-01 15:30",684,"Arlo Parks","2021 Wrapped"
"2021-12-01 15:31",2832,"Gucci Sweater","Dylan Fraser"
"2021-12-01 15:33",70193,"I’d Rather Be Here","Dylan Fraser"
"2021-12-01 15:36",0,"Pretend","Daisy Brain"
"2021-12-01 15:36",208281,"Boring","Daisy Brain"
"2021-12-01 15:40",223071,"Supersonic","Dylan Fraser"
"2021-12-01 15:43",212897,"Gucci Sweater","Dylan Fraser"
"2021-12-01 15:46",145941,"The Storm","Dylan Fraser"
"2021-12-01 15:49",198719,"That’s Just Life","Dylan Fraser"
"2021-12-01 15:52",198626,"Vipers","Dylan Fraser"
"2021-12-01 15:56",222885,"Losing Sleep","Dylan Fraser"
"2021-12-01 15:59",183023,"Only A Fool (feat. Samia)","Dylan Fraser"
"2021-12-01 21:42",8758,"I’d Rather Be Here","Dylan Fraser"
"2021-12-01 21:45",200656,"Vipers","Dylan Fraser"
"2021-12-01 21:48",167281,"Mantelpiece","Dylan Fraser"
"2021-12-01 21:51",198626,"Vipers","Dylan Fraser"
"2021-12-01 21:54",176236,"Face Tattoo","Dylan Fraser"
"2021-12-01 21:58",222885,"Losing Sleep","Dylan Fraser"
"2021-12-01 22:01",176236,"Face Tattoo","Dylan Fraser"
"2021-12-01 22:04",176236,"Face Tattoo","Dylan Fraser"
"2021-12-01 22:07",200656,"Vipers","Dylan Fraser"
"2021-12-01 22:10",183023,"Only A Fool (feat. Samia)","Dylan Fraser"
"2021-12-01 22:13",176236,"Face Tattoo","Dylan Fraser"
"2021-12-01 22:17",210520,"Intentions","Dylan Fraser"
"2021-12-01 22:19",145941,"The Storm","Dylan Fraser"
"2021-12-01 22:22",176543,"I Do These Things For Me","Dylan Fraser"
"2021-12-01 22:27",271203,"Nightmare","Dylan Fraser"
"2021-12-01 22:29",145941,"The Storm","Dylan Fraser"
"2021-12-01 22:33",210520,"Intentions","Dylan Fraser"
"2021-12-01 22:36",208722,"I’d Rather Be Here","Dylan Fraser"
"2021-12-01 22:39",200656,"Vipers","Dylan Fraser"
"2021-12-01 22:43",223071,"Supersonic","Dylan Fraser"
"2021-12-01 22:46",187111,"Pipeline","Dylan Fraser"
"2021-12-01 22:50",212897,"Gucci Sweater","Dylan Fraser"
"2021-12-01 22:53",198719,"That’s Just Life","Dylan Fraser"
"2021-12-01 22:57",22140,"I Do These Things For Me","Dylan Fraser"
"2021-12-01 22:57",223071,"Supersonic","Dylan Fraser"
"2021-12-02 07:36",208281,"Boring","Daisy Brain"
"2021-12-02 07:39",182013,"Pretend","Daisy Brain"
