"endTime","msPlayed","trackName","artistName"
"2021-07-17 11:45",244906,"It Won't Always Be Like This","Inhaler"
"2021-07-17 11:49",272666,"My Honest Face","Inhaler"
"2021-07-17 11:54",275853,"Slide Out The Window","Inhaler"
"2021-07-17 11:58",233906,"Cheer Up Baby","Inhaler"
"2021-07-17 12:45",143636,"A Night On The Floor","Inhaler"
"2021-07-17 12:45",600,"My Honest Face","Inhaler"
"2021-07-17 12:45",470,"Slide Out The Window","Inhaler"
"2021-07-17 12:45",460,"Cheer Up Baby","Inhaler"
"2021-07-17 12:50",244906,"It Won't Always Be Like This","Inhaler"
"2021-07-17 12:54",272666,"My Honest Face","Inhaler"
"2021-07-17 13:01",275853,"Slide Out The Window","Inhaler"
"2021-07-17 13:07",233906,"Cheer Up Baby","Inhaler"
"2021-07-17 13:11",242533,"A Night On The Floor","Inhaler"
"2021-07-17 13:20",292853,"My King Will Be Kind","Inhaler"
"2021-07-17 13:24",222746,"When It Breaks","Inhaler"
"2021-07-17 13:30",382800,"Who's Your Money On? (Plastic House)","Inhaler"
"2021-07-17 13:34",236146,"Totally","Inhaler"
"2021-07-17 13:35",64546,"Strange Time To Be Alive","Inhaler"
"2021-07-17 13:39",251880,"In My Sleep","Inhaler"
"2021-07-17 14:13",268114,"Fade Into You","Inhaler"
"2021-07-17 14:49",47372,"Fade Into You","Inhaler"
"2021-07-17 14:53",252546,"We Have To Move On","Inhaler"
"2021-07-17 14:57",223896,"Ice Cream Sundae","Inhaler"
"2021-07-17 15:22",229634,"Falling In","Inhaler"
"2021-07-17 15:30",453600,"There's No Other Place","Inhaler"
"2021-07-17 16:24",265293,"Oklahoma - Late Night Version","Inhaler"
"2021-07-17 16:28",244906,"It Won't Always Be Like This","Inhaler"
"2021-07-17 16:33",272666,"My Honest Face","Inhaler"
"2021-07-17 16:37",275853,"Slide Out The Window","Inhaler"
"2021-07-17 16:41",233906,"Cheer Up Baby","Inhaler"
"2021-07-17 16:45",242533,"A Night On The Floor","Inhaler"
"2021-07-17 16:50",292853,"My King Will Be Kind","Inhaler"
"2021-07-17 16:54",222746,"When It Breaks","Inhaler"
"2021-07-17 17:00",382800,"Who's Your Money On? (Plastic House)","Inhaler"
"2021-07-17 17:04",236146,"Totally","Inhaler"
"2021-07-17 17:52",8684,"American Cars","Annie"
"2021-07-17 17:57",187000,"hey girl","boy pablo"
"2021-07-17 18:01",213146,"wet weekend","easy life"
"2021-07-17 18:04",181720,"The Beach","All Time Low"
"2021-07-17 18:07",174735,"ocean view","easy life"
"2021-07-17 18:10",197250,"pink sky (endless summer)","Abbie Ozard"
"2021-07-17 18:13",169866,"Oxygen","Catfish and the Bottlemen"
"2021-07-17 18:16",193722,"It Won't Always Be Like This","Inhaler"
"2021-07-17 19:11",21533,"Strange Time To Be Alive","Inhaler"
"2021-07-17 19:11",4630,"Totally","Inhaler"
"2021-07-17 19:19",203186,"Hello - Remastered","Oasis"
"2021-07-17 19:23",240093,"Roll With It - Remastered","Oasis"
"2021-07-17 19:28",258773,"Wonderwall - Remastered","Oasis"
"2021-07-17 19:32",289560,"Don't Look Back In Anger - Remastered","Oasis"
"2021-07-17 19:38",341906,"Hey Now! - Remastered","Oasis"
"2021-07-17 19:39",44626,"The Swamp Song (Excerpt 1) - Remastered","Oasis"
"2021-07-17 19:44",327920,"Some Might Say - Remastered","Oasis"
"2021-07-17 19:49",294813,"Cast No Shadow - Remastered","Oasis"
"2021-07-17 19:53",220920,"She's Electric - Remastered","Oasis"
"2021-07-17 19:58",303320,"Morning Glory - Remastered","Oasis"
"2021-07-17 19:59",39360,"The Swamp Song (Excerpt 2) - Remastered","Oasis"
"2021-07-17 20:06",451320,"Champagne Supernova - Remastered","Oasis"
"2021-07-17 20:10",263746,"Talk Tonight - Remastered","Oasis"
"2021-07-17 23:13",325042,"Acquiesce - Remastered","Oasis"
"2021-07-17 23:17",281840,"Headshrinker - Remastered","Oasis"
"2021-07-17 23:21",240146,"It's Better People - Remastered","Oasis"
"2021-07-17 23:26",279200,"Rockin' Chair - Remastered","Oasis"
"2021-07-17 23:30",224426,"Step Out - Remastered","Oasis"
"2021-07-17 23:33",204653,"Underneath The Sky - Remastered","Oasis"
"2021-07-17 23:38",312160,"Cum On Feel The Noize - Remastered","Oasis"
"2021-07-17 23:42",197543,"Round Are Way - Remastered","Oasis"
"2021-07-18 11:53",244907,"It Won't Always Be Like This","Inhaler"
"2021-07-18 11:58",272667,"My Honest Face","Inhaler"
"2021-07-18 12:03",275853,"Slide Out The Window","Inhaler"
"2021-07-18 12:06",233907,"Cheer Up Baby","Inhaler"
"2021-07-18 12:11",242533,"A Night On The Floor","Inhaler"
"2021-07-18 12:15",292853,"My King Will Be Kind","Inhaler"
"2021-07-18 12:19",222747,"When It Breaks","Inhaler"
"2021-07-18 12:25",382800,"Who's Your Money On? (Plastic House)","Inhaler"
"2021-07-18 12:29",236147,"Totally","Inhaler"
"2021-07-18 12:30",64547,"Strange Time To Be Alive","Inhaler"
"2021-07-18 12:35",251880,"In My Sleep","Inhaler"
"2021-07-18 12:40",315491,"Fade Into You","Inhaler"
"2021-07-18 12:44",252547,"We Have To Move On","Inhaler"
"2021-07-18 12:48",223897,"Ice Cream Sundae","Inhaler"
"2021-07-18 12:52",229634,"Falling In","Inhaler"
"2021-07-18 12:59",453600,"There's No Other Place","Inhaler"
"2021-07-18 13:04",265293,"Oklahoma - Late Night Version","Inhaler"
"2021-07-18 13:07",189227,"You Only Live Once","The Strokes"
"2021-07-18 13:10",193373,"Last Nite","The Strokes"
"2021-07-18 13:14",219827,"Reptilia","The Strokes"
"2021-07-18 13:17",183440,"Someday","The Strokes"
"2021-07-18 16:54",156595,"The Adults Are Talking","The Strokes"
"2021-07-18 17:08",95038,"You're Not The Only One","Sam Fender"
"2021-07-18 17:16",3590,"TEMPO","NASAYA"
"2021-07-18 17:18",150,"Say So","Masked Wolf"
"2021-07-18 19:18",209970,"Photo ID (with Dominic Fike)","Remi Wolf"
"2021-07-18 19:22",244906,"It Won't Always Be Like This","Inhaler"
"2021-07-18 19:27",272666,"My Honest Face","Inhaler"
"2021-07-18 19:31",275853,"Slide Out The Window","Inhaler"
"2021-07-18 19:35",233906,"Cheer Up Baby","Inhaler"
"2021-07-18 19:39",242533,"A Night On The Floor","Inhaler"
"2021-07-18 19:44",292853,"My King Will Be Kind","Inhaler"
"2021-07-18 19:46",94729,"When It Breaks","Inhaler"
"2021-07-18 20:04",256307,"7","Catfish and the Bottlemen"
"2021-07-18 20:07",232960,"Longshot","Catfish and the Bottlemen"
"2021-07-18 20:11",236887,"Cocoon","Catfish and the Bottlemen"
"2021-07-18 20:14",160886,"Kathleen","Catfish and the Bottlemen"
"2021-07-18 20:18",237533,"Pacifier","Catfish and the Bottlemen"
"2021-07-18 20:21",188440,"2all","Catfish and the Bottlemen"
"2021-07-18 20:26",261560,"Soundcheck","Catfish and the Bottlemen"
"2021-07-18 20:29",210405,"Fallout","Catfish and the Bottlemen"
"2021-07-18 20:33",249480,"Anything","Catfish and the Bottlemen"
"2021-07-18 20:36",196947,"Twice","Catfish and the Bottlemen"
"2021-07-18 20:39",169867,"Oxygen","Catfish and the Bottlemen"
"2021-07-18 20:43",223293,"Mission","Catfish and the Bottlemen"
"2021-07-18 20:45",138573,"Emily","Catfish and the Bottlemen"
"2021-07-18 20:49",192053,"Fluctuate","Catfish and the Bottlemen"
"2021-07-18 20:52",30070,"Glasgow","Catfish and the Bottlemen"
"2021-07-18 20:52",177983,"Rango","Catfish and the Bottlemen"
"2021-07-18 20:56",1216,"When It Breaks","Inhaler"
"2021-07-18 23:20",19122,"Longshot","Catfish and the Bottlemen"
"2021-07-18 23:20",256307,"7","Catfish and the Bottlemen"
"2021-07-18 23:25",256307,"7","Catfish and the Bottlemen"
"2021-07-18 23:29",232960,"Longshot","Catfish and the Bottlemen"
"2021-07-18 23:32",236887,"Cocoon","Catfish and the Bottlemen"
"2021-07-18 23:35",160886,"Kathleen","Catfish and the Bottlemen"
"2021-07-18 23:39",237533,"Pacifier","Catfish and the Bottlemen"
"2021-07-18 23:42",188440,"2all","Catfish and the Bottlemen"
"2021-07-18 23:47",261560,"Soundcheck","Catfish and the Bottlemen"
"2021-07-18 23:50",210405,"Fallout","Catfish and the Bottlemen"
"2021-07-18 23:54",249480,"Anything","Catfish and the Bottlemen"
"2021-07-18 23:58",196947,"Twice","Catfish and the Bottlemen"
"2021-07-19 00:00",169867,"Oxygen","Catfish and the Bottlemen"
"2021-07-19 00:04",223293,"Mission","Catfish and the Bottlemen"
"2021-07-19 00:06",138573,"Emily","Catfish and the Bottlemen"
"2021-07-19 00:10",192053,"Fluctuate","Catfish and the Bottlemen"
"2021-07-19 00:13",177983,"Rango","Catfish and the Bottlemen"
"2021-07-19 00:15",157000,"Glasgow","Catfish and the Bottlemen"
"2021-07-19 00:19",200520,"Sidetrack","Catfish and the Bottlemen"
"2021-07-19 00:22",221776,"Business","Catfish and the Bottlemen"
"2021-07-19 00:27",279067,"Tyrants","Catfish and the Bottlemen"
"2021-07-19 00:30",165507,"Encore","Catfish and the Bottlemen"
"2021-07-19 08:56",203187,"Hello - Remastered","Oasis"
"2021-07-19 09:00",240093,"Roll With It - Remastered","Oasis"
"2021-07-19 09:05",258773,"Wonderwall - Remastered","Oasis"
"2021-07-19 09:10",289560,"Don't Look Back In Anger - Remastered","Oasis"
"2021-07-19 09:15",341907,"Hey Now! - Remastered","Oasis"
"2021-07-19 09:16",44627,"The Swamp Song (Excerpt 1) - Remastered","Oasis"
"2021-07-19 09:21",327920,"Some Might Say - Remastered","Oasis"
"2021-07-19 09:26",294813,"Cast No Shadow - Remastered","Oasis"
"2021-07-19 09:30",220920,"She's Electric - Remastered","Oasis"
"2021-07-19 09:35",303320,"Morning Glory - Remastered","Oasis"
"2021-07-19 09:36",39360,"The Swamp Song (Excerpt 2) - Remastered","Oasis"
"2021-07-19 09:43",451320,"Champagne Supernova - Remastered","Oasis"
"2021-07-19 09:48",263747,"Talk Tonight - Remastered","Oasis"
"2021-07-19 09:52",267987,"Acquiesce - Remastered","Oasis"
"2021-07-19 09:57",281840,"Headshrinker - Remastered","Oasis"
"2021-07-19 10:01",240147,"It's Better People - Remastered","Oasis"
"2021-07-19 10:05",279200,"Rockin' Chair - Remastered","Oasis"
"2021-07-19 10:07",8847,"Hello - Remastered","Oasis"
"2021-07-19 10:07",88596,"Step Out - Remastered","Oasis"
"2021-07-19 10:12",322947,"Rock 'n' Roll Star - Remastered","Oasis"
"2021-07-19 10:18",308280,"Shakermaker - Remastered","Oasis"
"2021-07-19 10:22",276667,"Live Forever - Remastered","Oasis"
"2021-07-19 10:27",268000,"Up In The Sky - Remastered","Oasis"
"2021-07-19 11:08",28293,"Columbia - Remastered","Oasis"
"2021-07-19 13:23",244906,"It Won't Always Be Like This","Inhaler"
"2021-07-19 13:30",51493,"Who's Your Money On? (Plastic House)","Inhaler"
"2021-07-19 13:35",315491,"Fade Into You","Inhaler"
"2021-07-19 13:39",236146,"Totally","Inhaler"
"2021-07-19 13:40",64546,"Strange Time To Be Alive","Inhaler"
"2021-07-19 13:44",251880,"In My Sleep","Inhaler"
"2021-07-19 13:52",315491,"Fade Into You","Inhaler"
"2021-07-19 13:57",252546,"We Have To Move On","Inhaler"
