"endTime","msPlayed","trackName","artistName"
"2021-04-10 10:36",203221,"the other girl (with Halsey) [the other mix]","Halsey"
"2021-04-10 10:39",210825,"Easy Peeler","Phoebe Green"
"2021-04-10 10:42",190226,"Lost in Translation","The Neighbourhood"
"2021-04-10 10:45",157264,"Easy (with Kacey Musgraves feat. Mark Ronson)","Troye Sivan"
"2021-04-10 10:57",4806,"The Disco","TTRRUUCES"
"2021-04-10 11:01",219826,"Reptilia","The Strokes"
"2021-04-10 11:05",189226,"You Only Live Once","The Strokes"
"2021-04-10 11:08",193373,"Last Nite","The Strokes"
"2021-04-10 11:11",222093,"Selfless","The Strokes"
"2021-04-10 11:17",309053,"The Adults Are Talking","The Strokes"
"2021-04-10 11:22",293360,"Bad Decisions","The Strokes"
"2021-04-10 11:25",204773,"Call It Fate, Call It Karma","The Strokes"
"2021-04-10 11:31",351786,"Ode To The Mets","The Strokes"
"2021-04-10 11:34",183440,"Someday","The Strokes"
"2021-04-10 11:38",235546,"Under Cover of Darkness","The Strokes"
"2021-04-10 11:40",151333,"Is This It","The Strokes"
"2021-04-10 11:43",169506,"What Ever Happened?","The Strokes"
"2021-04-10 11:47",208066,"The Modern Age","The Strokes"
"2021-04-10 11:50",203240,"Taken for a Fool","The Strokes"
"2021-04-10 11:54",207133,"Automatic Stop","The Strokes"
"2021-04-10 11:57",208133,"Razorblade","The Strokes"
"2021-04-10 12:01",235946,"Brooklyn Bridge To Chorus","The Strokes"
"2021-04-10 12:08",375320,"Eternal Summer","The Strokes"
"2021-04-10 12:13",310373,"At The Door","The Strokes"
"2021-04-10 13:45",275666,"Why Are Sundays So Depressing","The Strokes"
"2021-04-10 13:49",224333,"Hard To Explain","The Strokes"
"2021-04-10 13:51",153133,"12:51","The Strokes"
"2021-04-10 13:55",206173,"Heart In a Cage","The Strokes"
"2021-04-10 13:58",209626,"Machu Picchu","The Strokes"
"2021-04-10 14:02",194573,"Juicebox","The Strokes"
"2021-04-10 14:06",242293,"One Way Trigger","The Strokes"
"2021-04-10 14:10",234693,"Barely Legal","The Strokes"
"2021-04-10 14:14",264724,"Threat of Joy","The Strokes"
"2021-04-10 14:32",200853,"The End Has No End","The Strokes"
"2021-04-10 14:37",230826,"Welcome To Japan","The Strokes"
"2021-04-10 18:39",310373,"At The Door","The Strokes"
"2021-04-10 18:44",273133,"15 Minutes","The Strokes"
"2021-04-10 18:47",185560,"The End Has No End","The Strokes"
"2021-04-10 18:50",206173,"Heart In a Cage","The Strokes"
"2021-04-10 18:53",153840,"Soma","The Strokes"
"2021-04-10 18:56",204773,"Call It Fate, Call It Karma","The Strokes"
"2021-04-10 19:00",242293,"One Way Trigger","The Strokes"
"2021-04-10 19:04",235947,"Brooklyn Bridge To Chorus","The Strokes"
"2021-04-10 19:07",187307,"Under Control","The Strokes"
"2021-04-10 19:10",162040,"I Can't Win","The Strokes"
"2021-04-10 19:14",234693,"Barely Legal","The Strokes"
"2021-04-10 19:16",126721,"Two Kinds of Happiness","The Strokes"
"2021-04-10 19:20",233907,"Cheer Up Baby","Inhaler"
"2021-04-10 19:24",245227,"It Won't Always Be Like This - Single Version","Inhaler"
"2021-04-10 19:28",220587,"When It Breaks","Inhaler"
"2021-04-10 19:32",274053,"My Honest Face","Inhaler"
"2021-04-10 19:37",315491,"Fade Into You","Inhaler"
"2021-04-10 19:42",252547,"We Have To Move On","Inhaler"
"2021-04-10 19:45",223897,"Ice Cream Sundae","Inhaler"
"2021-04-10 19:51",981,"Falling In","Inhaler"
"2021-04-10 19:51",36487,"Falling In","Inhaler"
"2021-04-11 08:46",273554,"Drag Queen","The Strokes"
"2021-04-11 08:50",235947,"Brooklyn Bridge To Chorus","The Strokes"
"2021-04-11 08:52",141103,"Games","The Strokes"
"2021-04-11 08:52",198933,"Oblivius","The Strokes"
"2021-04-11 08:56",208142,"The Modern Age","The Strokes"
"2021-04-11 09:01",299233,"Oblivius","The Strokes"
"2021-04-11 09:05",275667,"Why Are Sundays So Depressing","The Strokes"
"2021-04-11 09:09",222093,"Selfless","The Strokes"
"2021-04-11 09:12",216787,"Chances","The Strokes"
"2021-04-11 09:16",189973,"Ask Me Anything","The Strokes"
"2021-04-11 09:21",337333,"Not The Same Anymore","The Strokes"
"2021-04-11 09:33",2111,"I Can't Sleep","Goan Dogs"
"2021-04-11 09:33",133614,"Ize of the World","The Strokes"
"2021-04-11 09:33",5653,"Ize of the World","The Strokes"
"2021-04-11 09:33",2858,"Waiting on You (Coming Back Home)","FUR"
"2021-04-11 09:36",212824,"Happiness In Liquid Form","Alfie Templeman"
"2021-04-11 09:39",171208,"Alien Crime Lord","The Voidz"
"2021-04-11 09:51",297639,"Leave It In My Dreams","The Voidz"
"2021-04-11 09:56",296938,"Did My Best","The Voidz"
"2021-04-11 09:59",197851,"Off to War","The Voidz"
"2021-04-11 10:04",265489,"Alien Crime Lord","The Voidz"
"2021-04-11 10:07",154673,"Father Electricity","The Voidz"
"2021-04-11 10:08",90368,"Pointlessness","The Voidz"
"2021-04-11 12:08",17403,"Leave It In My Dreams","The Voidz"
"2021-04-11 12:12",233906,"Cheer Up Baby","Inhaler"
"2021-04-11 12:15",180362,"Café Deluxe","Osei The Seventh"
"2021-04-11 12:19",245226,"It Won't Always Be Like This - Single Version","Inhaler"
"2021-04-11 12:22",220586,"When It Breaks","Inhaler"
"2021-04-11 12:27",274053,"My Honest Face","Inhaler"
"2021-04-11 12:32",315491,"Fade Into You","Inhaler"
"2021-04-11 12:36",252546,"We Have To Move On","Inhaler"
"2021-04-11 12:47",183507,"Ice Cream Sundae","Inhaler"
"2021-04-11 12:47",41261,"Ice Cream Sundae","Inhaler"
"2021-04-11 12:51",229634,"Falling In","Inhaler"
"2021-04-11 12:52",7910,"There's No Other Place","Inhaler"
"2021-04-11 12:55",196000,"Lemonade","Dutchkid"
"2021-04-11 12:59",206014,"Talking Gold","Stubborn Heart"
"2021-04-11 13:03",228817,"Drama","Erika de Casier"
"2021-04-11 13:06",189105,"Former Warnings Cluster - EP Version","Eades"
"2021-04-11 13:08",138160,"Cigarette Packet","Sorry"
"2021-04-11 13:14",375626,"Paddling","Squid"
"2021-04-11 13:17",184669,"Survive","Show Me the Body"
"2021-04-11 13:21",199851,"Not Usually Like This","Cian Ducrot"
"2021-04-11 13:25",226456,"Adam in the Evening","Josh Barry"
"2021-04-11 13:28",218306,"Gold Chains","Genesis Owusu"
"2021-04-11 13:32",201155,"Off You","Sherwyn"
"2021-04-11 13:36",236495,"The Look","Sports"
"2021-04-11 13:39",200471,"Anything at All","Bachelor"
"2021-04-11 13:55",970464,"Famous Prophets (Stars)","Car Seat Headrest"
"2021-04-11 13:58",194400,"It's All A Blur","Lauren Faith"
"2021-04-11 14:01",174793,"Acid Neverland","Tunnelvisions"
"2021-04-11 16:25",228733,"Killing Lies","The Strokes"
"2021-04-11 16:29",259027,"Vision of Division","The Strokes"
"2021-04-11 16:32",193373,"Last Nite","The Strokes"
"2021-04-11 16:36",240467,"Fear of Sleep","The Strokes"
"2021-04-11 16:39",181373,"All The Time","The Strokes"
"2021-04-11 16:42",186267,"You Talk Way Too Much","The Strokes"
"2021-04-11 16:46",242293,"One Way Trigger","The Strokes"
"2021-04-11 16:50",202760,"Trying Your Luck","The Strokes"
"2021-04-11 16:54",235947,"Brooklyn Bridge To Chorus","The Strokes"
"2021-04-11 16:59",298613,"80's Comedown Machine","The Strokes"
"2021-04-11 17:03",230827,"Welcome To Japan","The Strokes"
"2021-04-11 17:07",4192,"Not Fit For This","GHLOW"
"2021-04-11 17:07",264725,"Threat of Joy","The Strokes"
"2021-04-11 17:10",162040,"I Can't Win","The Strokes"
"2021-04-11 17:16",375320,"Eternal Summer","The Strokes"
"2021-04-11 17:19",163227,"50/50","The Strokes"
"2021-04-11 18:25",83835,"Electricityscape","The Strokes"
"2021-04-11 18:29",201000,"Not Fit For This","GHLOW"
"2021-04-11 18:32",188088,"That Dress - Demo","The Pale White"
"2021-04-11 23:26",162040,"I Can't Win","The Strokes"
"2021-04-11 23:31",310373,"At The Door","The Strokes"
"2021-04-11 23:37",332016,"Oblivius - Moretti Remix","The Strokes"
"2021-04-11 23:39",176160,"Meet Me in the Bathroom","The Strokes"
"2021-04-11 23:43",183440,"Someday","The Strokes"
"2021-04-11 23:49",375320,"Eternal Summer","The Strokes"
"2021-04-11 23:52",179200,"Gratisfaction","The Strokes"
"2021-04-11 23:55",140749,"No Hands","Kojaque"
"2021-04-11 23:55",175200,"When It Started","The Strokes"
"2021-04-11 23:58",201893,"Partners In Crime","The Strokes"
"2021-04-12 00:01",204773,"Call It Fate, Call It Karma","The Strokes"
"2021-04-12 00:06",242293,"One Way Trigger","The Strokes"
"2021-04-12 00:09",206173,"Heart In a Cage","The Strokes"
"2021-04-12 00:13",224333,"Hard To Explain","The Strokes"
"2021-04-12 00:16",187307,"Under Control","The Strokes"
"2021-04-12 00:19",188640,"Alone, Together","The Strokes"
"2021-04-12 00:21",151333,"Is This It","The Strokes"
"2021-04-12 00:25",186267,"You Talk Way Too Much","The Strokes"
"2021-04-12 00:28",216787,"Chances","The Strokes"
"2021-04-12 00:33",273554,"Drag Queen","The Strokes"
"2021-04-12 00:36",194573,"Juicebox","The Strokes"
"2021-04-12 00:39",182027,"Call Me Back","The Strokes"
"2021-04-12 00:42",181373,"All The Time","The Strokes"
"2021-04-12 00:46",265773,"Ize of the World","The Strokes"
"2021-04-12 00:50",231533,"Games","The Strokes"
"2021-04-12 00:54",222093,"Selfless","The Strokes"
"2021-04-12 00:58",209627,"Machu Picchu","The Strokes"
"2021-04-12 01:01",196573,"Between Love & Hate","The Strokes"
"2021-04-12 01:06",299233,"Oblivius","The Strokes"
"2021-04-12 01:09",207133,"Automatic Stop","The Strokes"
"2021-04-12 01:13",208133,"Razorblade","The Strokes"
"2021-04-12 01:16",189227,"You Only Live Once","The Strokes"
"2021-04-12 01:19",172160,"Happy Ending","The Strokes"
"2021-04-12 01:23",230827,"Welcome To Japan","The Strokes"
"2021-04-12 01:26",180680,"Metabolism","The Strokes"
"2021-04-12 01:29",196067,"Take It Or Leave It","The Strokes"
"2021-04-12 01:33",240467,"Fear of Sleep","The Strokes"
"2021-04-12 01:37",264725,"Threat of Joy","The Strokes"
"2021-04-12 01:41",208067,"The Modern Age","The Strokes"
"2021-04-12 01:44",203240,"Taken for a Fool","The Strokes"
"2021-04-12 01:48",259027,"Vision of Division","The Strokes"
"2021-04-12 01:52",234693,"Barely Legal","The Strokes"
"2021-04-12 01:56",213200,"Electricityscape","The Strokes"
"2021-04-12 02:01",276507,"On the Other Side","The Strokes"
"2021-04-12 02:03",141733,"The Way It Is","The Strokes"
"2021-04-12 02:07",260693,"Slow Animals","The Strokes"
"2021-04-12 02:10",186000,"Evening Sun","The Strokes"
"2021-04-12 02:14",191693,"Red Light","The Strokes"
"2021-04-12 02:19",309053,"The Adults Are Talking","The Strokes"
"2021-04-12 02:22",202760,"Trying Your Luck","The Strokes"
"2021-04-12 02:25",189973,"Ask Me Anything","The Strokes"
"2021-04-12 02:29",228733,"Killing Lies","The Strokes"
"2021-04-12 02:33",222080,"Two Kinds of Happiness","The Strokes"
"2021-04-12 02:38",337333,"Not The Same Anymore","The Strokes"
"2021-04-12 02:41",163227,"50/50","The Strokes"
"2021-04-12 02:45",219827,"Reptilia","The Strokes"
"2021-04-12 02:51",351787,"Ode To The Mets","The Strokes"
"2021-04-12 07:22",4621,"Talk","Two Door Cinema Club"
"2021-04-12 07:22",1258,"Let It Go","Josefine"
"2021-04-12 07:22",251774,"Always Like This - Live at Brixton","Bombay Bicycle Club"
"2021-04-12 07:29",176840,"Weirdo","HONEYMOAN"
"2021-04-12 07:32",200583,"Tangerine","Glass Animals"
"2021-04-12 07:35",160720,"Attention Seeker","Ginger Snaps"
"2021-04-12 07:38",169504,"Monsters Under The Bed","Dylan Cartlidge"
"2021-04-12 07:41",173747,"Do It Again","No Rome"
"2021-04-12 07:44",162241,"white lie","contradash"
"2021-04-12 07:47",209626,"Never A Low","Gengahr"
"2021-04-12 07:49",117280,"both eyes","Lokoy"
"2021-04-12 07:51",104153,"Gouge Away","Nation of Language"
"2021-04-12 07:55",219800,"Face to Face","Rex Orange County"
"2021-04-12 07:58",222946,"The View From The Afternoon","Arctic Monkeys"
"2021-04-12 07:59",2453,"Goodbye","Bleachers"
"2021-04-12 07:59",24903,"Shady","Alfie Templeman"
"2021-04-12 08:01",153293,"blind","ROLE MODEL"
"2021-04-12 08:02",661,"Robbery","Lime Cordiale"
"2021-04-12 08:02",831,"TV Screens","Somebody's Child"
"2021-04-12 08:02",1322,"Dancing On Quicksand","Bad Suns"
"2021-04-12 08:02",128,"Space Samba (Disco Volador Theme) - Edit","The Orielles"
"2021-04-12 08:02",14868,"Still","The Japanese House"
"2021-04-12 08:18",36629,"Backyard Boy","Claire Rosinkranz"
"2021-04-12 08:21",225786,"Beautiful Way","You Me At Six"
"2021-04-12 08:25",217245,"Glue","The Pale White"
"2021-04-12 08:28",184173,"Liar Liar","MID CITY"
"2021-04-12 08:32",214706,"Working Man's Town","Kid Kapichi"
"2021-04-12 08:35",180093,"GOOD GRIEF","cleopatrick"
"2021-04-12 08:37",118733,"estella//","KennyHoopla"
"2021-04-12 08:40",195853,"Tiny Indoor Fireworks","Biffy Clyro"
"2021-04-12 08:44",228400,"Trouble’s Coming","Royal Blood"
"2021-04-12 08:48",237053,"Is Everybody Going Crazy?","Nothing But Thieves"
"2021-04-12 08:51",221520,"Oh! Euphoria!","Twin Atlantic"
"2021-04-12 08:55",195180,"I Wish I Was A...","NOISY"
"2021-04-12 08:57",167032,"Gold Teeth","Tunnelvisions"
"2021-04-12 09:00",181506,"Comme Des Garçons (Like The Boys)","Rina Sawayama"
"2021-04-12 09:04",195704,"Hypnotized","Purple Disco Machine"
"2021-04-12 09:07",200253,"Dead Horse - Glass Animals Remix","Hayley Williams"
"2021-04-12 09:11",213571,"Easy (with Kacey Musgraves feat. Mark Ronson)","Troye Sivan"
"2021-04-12 09:14",223500,"Bad Love","School of X"
"2021-04-12 09:18",214339,"801","The Aces"
"2021-04-12 09:18",181611,"Why Are Sundays So Depressing","The Strokes"
"2021-04-12 09:22",245082,"Talk About Me","Skott"
"2021-04-12 09:25",181261,"Misfit","Evie Irie"
